ko,name,description,disease_category
"H02303","Alopecia-mental retardation syndrome","Alopecia-mental retardation syndrome (APMR) is a rare autosomal recessive disorder characterized by total or partial absence of hair from the scalp and other parts of the body and associated with mental retardation. Three regions associated with APMR have been identified. Recently, a novel pathogenic, missense mutation in the AHSG has been revealed. AHSG maps within APMR linkage region 1 (APMR1) as reported before.","Congenital malformation"
"H02131","UV-sensitive syndrome","UV-sensitive syndrome (UV(S)S) is an autosomal recessive disorder characterized by mild photosensitivity in sun-exposed areas of the skin, with freckling and telangiectasia, but without the high propensity to skin cancer. UV(S)S and Cockayne syndrome [DS:H00076] are deficient in transcription-coupled nucleotide excision repair (TC-NER), a subpathway of nucleotide-excision repair (NER) that rapidly removes transcription-blocking DNA damage. The cellular and biochemical responses of UV(S)S and Cockayne syndrome cells to UV light are indistinguishable. Some UV(S)S cases carry mutations in the Cockayne syndrome genes ERCC8 or ERCC6 (also known as CSA and CSB, respectively).","Skin disease"
"H00666","Peutz-Jeghers syndrome","Peutz-Jeghers syndrome (PJS) is an autosomal dominant condition in which multiple characteristic polyps occur throughout the gastrointestinal tract. Mucocutaneous pigmented lesions, especially of the vermilion border of the lips, are seen in almost all patients. PJS patients have a considerably increased risk of developing intestinal malignancies. The only known cause for PJS is STK11 mutation.","Gastrointestinal disease"
"H00202","Hepatic porphyria","Hepatic porphyrias are diseases due to marked deficiencies of enzymes in the heme biosynthetic pathway. Clinical manifestations in porphyria are neurovisceral or cutaneous as well as hematic or hepatic.","Congenital disorder of metabolism"
"H00030","Cervical cancer","Cervical cancer is the second largest cause of cancer-related death in women worldwide, and it occurs following persistent infection, sometimes for decades, with a specific subset of human papillomavirus (HPV) types, particularly types 16, 18, 33 and 42. Experimental studies show that the E6 and E7 genes of these high risk HPVs are oncogenes that deregulate key cell cycle controls. The E6 and E7 oncoproteins bind respectively to the p53 and Retinoblastoma (Rb) tumor suppressor proteins, which are involved in the regulation of growth control. The abnormalities in other cellular genes found in cervical cancer, including mutations in ras family of genes, and amplification in EGFR and ERBB2, may also play an important role in carcinogenesis and the aggressiveness of cervical tumors, although to date the role of most of these genetic abnormalities does not appear to be as important as the role of HPV.","Cancer"
"H01324","Lymphocytic choriomeningitis","Lymphocytic choriomeningitis (LCM) is an infectious disease caused by Lymphocytic choriomeningitis virus (LCMV), an arenavirus in the Arenaviridae family of -ssRNA viruses, and transmitted by rodents. LCMV was the first isolated in 1933 in St. Louis, USA.","Infectious disease"
"H01116","Choroideremia","Choroideremia (CHM) is an X-linked retinal dystrophy characterized by progressive degeneration of the choriocapillaris, retinal pigment epithelium and photoreceptors. CHM is caused by mutations in the CHM gene, which encodes a protein involved in vesicular trafficking.","Nervous system disease"
"H01572","Cole-Carpenter syndrome","Cole-Carpenter syndrome (CCS) is a severe bone fragility disorder that is characterized by frequent fractures, craniosynostosis, ocular proptosis, hydrocephalus, and distinctive facial features. CCS was first described in 1987 as a newly recognized type of osteogenesis imperfecta (OI). Despite its apparent extreme rarity, CCS is commonly classified as a separate OI-like disorder. CCS is caused by a specific de novo mutation in P4HB, the gene that encodes protein disulfide isomerase (PDI), that impairs the disulfide isomerase activity. Mutations in SEC24D, a gene encoding a component of the COPII complex machinery, have been reported to cause CCS as well.","Congenital malformation"
"H00692","Lowe syndrome","Lowe Syndrome, or Oculocerebrorenal Dystrophy (OCRL) is a multisystem disorder characterised by anomalies affecting the eye, the nervous system and the kidney. This is a rare X-linked disorder caused by mutations in the OCRL1 gene which encodes the phosphatidylinositol enzyme (4, 5) biphosphate 5-phosphatase present in the Golgi complex. The symptoms of Lowe syndrome include congenital cataracts and glaucoma, delay in neuropsychomotor development, cognitive deficits, and renal tubular abnormalities.","Inherited metabolic disease; Nervous system disease"
"H01740","Macrothrombocytopenia","Macrothrombocytopenia (MTP) is a heterogeneous group of disorders characterized by enlarged and reduced numbers of circulating platelets, sometimes resulting in abnormal bleeding. The clinical presentations of MTP-affected individuals vary considerably and range from no symptoms to a severe bleeding tendency. MTP-causing mutations have been reported in several genes, involved in various functions such as cell signaling, cytoskeleton organization, and gene expression. Among these, the most common is MYH9, which is responsible for MYH9-related disease. The second most common are GP1BA, GP1BB, and GP, which are responsible for Bernard-Soulier syndrome.","Hematologic disease"
"H01912","Congenital lipomatous overgrowth, vascular malformations, and epidermal nevi","Congenital lipomatous overgrowth, vascular malformations, and epidermal nevi (CLOVE) syndrome is a recently delineated disorder that comprises vascular malformations (typically truncal), dysregulated adipose tissue, scoliosis, enlarged bony structures (typically of the legs) without progressive or distorting bony overgrowth. The key feature of this syndrome is a truncal lipomatous mass of variable size that is noted at birth. The fatty growths often extend from the trunk into the retroperitoneum, mediastinum, thoracic cavity, and epidural space. Deeper fast-flow and slow-flow vascular anomalies become evident early in childhood. Most acral deformities become accentuated with growth, are often symmetrical, are not rapidly progressive, and are commonly misdiagnosed as Proteus syndrome. This syndrome is caused by somatic activating mutations in PIK3CA.","Congenital malformation"
"H00498","Gnathodiaphyseal dysplasia","Gnathodiaphyseal dysplasia is a rare skeletal syndrome with autosomal dominant inheritance. It is characterized by cemento-osseous lesions of the jawbone, bone fragility, and sclerosis of tubular bones. Missense mutations of GDD1, which shows homology to TMEM16E, were identified.","Musculoskeletal disease"
"H01778","Ullrich disease","Ullrich disease or Ullrich congenital muscular dystrophy (UCMD) is a severe congenital disorder characterized clinically by generalized muscle weakness, contractures of the proximal joints and hyperextensibility of the distal joints and begins from birth or early infancy. Mutations in the three collagen VI genes COL6A1, COL6A2 and COL6A3 cause Ullrich disease.","Nervous system disease; Musculoskeletal disease"
"H02109","Combined malonic and methylmalonic aciduria","Combined malonic and methylmalonic aciduria (CMAMMA) is a rare recessive inborn error of metabolism characterised by elevations of urine malonic acid and methylmalonic acid. Unlike classic phenotype of methylmalonic acidemia, malonyl-CoA decarboxylase activity is normal. Mutations in ACSF3 have been identified as a cause of CMAMMA. ACSF3 encodes an enzyme that catalyzes the initial reaction in intramitochondrial fatty acid synthesis.","Congenital disorder of metabolism"
"H00008","Burkitt lymphoma","Burkitt lymphoma (BL) is a highly aggressive mature B-cell non-Hodgkin's lymphoma consisting of endemic, sporadic, and immunodeficiency-associated variants. Endemic BL (eBL) affects children and young adults in Africa and some other geographical areas and carries Epstein-Barr virus (EBV) in more than 95% of cases. In contrast, sporadic BL (sBL) among adolescents in Europe and North America are mostly EBV-negative. A third type of BL is associated with HIV-infection in adults. All of these subtypes possess chromosomal rearrangements of the c-myc oncogene, the genetic hallmark of BL that contributes to lymphomagenesis through alterations in cell cycle regulation, cellular differentiation, apoptosis, cellular adhesion, and metabolism. Many BL carry point mutation in the p53 tumor suppressor gene or other defects in the p14ARF-MDM2-p53 pathway, and inactivation of the p16INK4a gene by promoter methylation or homozygous deletion. This indicates that disruption of both the pRb and p53 tumor suppressor pathways is critical for BL development.","Cancer"
"H00834","Guanidinoacetate methyltransferase deficiency","Guanidinoacetate methyltransferase (GAMT) deficiency is an autosomal recessive inborn error of creatine biosynthesis caused by a deficiency of hepatic guanidinoacetate methyltransferase, resulting in a lack of creatine and an accumulation of guanidinoacetic acid, the precursor of creatine. GAMT deficiency is characterized by developmental arrest or delay in the first few months of life with epilepsy and extrapyramidal movements as common features. Neurologic signs and symptoms are variable, and autistic spectrum disorders are sometimes seen in older affected individuals. Pathophysiology of GAMT deficiency is thought that the accumulation of guanidinoacetate can interact with neuronal GABAA receptors and cause the neurological dysfunction which underlies these symptoms.","Inherited metabolic disease"
"H00695","Mal de Meleda","Mal de Meleda is an autosomal recessive palmoplantar keratoderma characterized by erythema of the palms and soles, followed by a diffuse yellowish hyperkeratosis. Keratinization extends onto the dorsal surface of the hands and feet as the patient ages. It is associated with brachydactyly and nail abnormalities. Mental retardation may also occur.","Congenital malformation"
"H01747","Costello syndrome","Costello syndrome (CS) is a rare multiple congenital abnormality syndrome. Patients present with the typical coarse face, deep palmar and plantar creases, redundant and loose skin, severe failure to thrive, congenital heart defect, and mild to severe mental retardation. Hyperpigmentation and papillomas can also be present. They have an increased risk of malignancy. The majority of patients show a mutation in HRAS.","Congenital malformation"
"H01575","Roifman syndrome","Roifman syndrome is a multi-system disorder with a physical phenotype that includes B-cell immunodeficiency, intra-uterine and postnatal growth retardation, spondyloepiphyseal dysplasia, retinal dystrophy, and characteristic facial dysmorphism. Recently, whole-genome sequencing of Roifman syndrome patients have demonstrated that Roifman syndrome is caused by compound heterozygous single-nucleotide variants (SNVs) in the minor spliceosomal small nuclear RNA (snRNA) gene RNU4ATAC, which was already implicated in a severe congenital disorder, microcephalic osteodysplastic primordial dwarfism, type I (MOPD1) [DS:H00993]. Roifman syndrome is phenotypically distinct from MOPD1.","Congenital malformation"
"H01111","Cortisone reductase deficiency","Cortisone reductase deficiency (CORTRD) is a rare abnormality of cortisone metabolism. There are close phenotypic similarities between CRD and polycystic ovary syndrome (PCOS). PCOS is a common endocrine disorder characterized by hirsutism, menstrual irregularity, anovulatory infertility, obesity, insulin resistance and hyperandrogenism. 11beta-HSD1 is a dimeric enzyme that catalyzes the reduction of cortisone to cortisol within the endoplasmic reticulum. And loss of its activity results in CRD. Mutations in H6PD, which encodes an enzyme supplying cofactor for the reaction, also have been identified as the cause of CRD.","Endocrine and metabolic disease"
"H01323","Enteritis due to Norovirus","Enteritis due to Norovirus is a major nonbacterial gastroenteritis worldwide. Norovirus is one of five genera of the family Caliciviridae of +ssRNA viruses. Human norovirus, previously known as Norwalk virus, was first identified during an outbreak of gastroenteritis in Norwalk, Ohio, USA.  Noroviruses are currently categorized into at least seven genogroups (GI-GVII) that are further divided into more than 40 genotypes. Genogroup GI, GII, and GIV viruses infect humans. Human Noroviruses are primarily transmitted by the fecal-oral route, either by person-to-person contact, or by ingestion of contaminated food or water. Moreover, they significantly contribute to foodborne diseases.","Infectious disease"
"H00037","Rhabdomyosarcoma","Rhabdomyosarcomas (RMSs) are soft tissue sarcomas that are one of the most common neoplasms in children and adolescents. RMSs are presumed to be associated with the skeletal muscle lineage, although those tumors can be present in organs histologically lacking skeletal muscle, like prostate, urinary bladder or gallbladder. RMS comprises a heterogeneous into two major histologic subtypes, embryonal (ERMS) and alveolar (ARMS). Alveolar rhabdomyosarcoma (ARMS) is a pediatric sarcoma that typically occurs in older children predominantly arising in the trunk and extremities, and exhibits a worse prognosis than other types of RMSs. ARMS is associated with 2;13 or 1;13 chromosomal translocations, which generate PAX3-FOXO1A and PAX7-FOXO1A fusion products, respectively. These translocations result in altered expression, function, and subcellular localization of the fusion products relative to the wild-type proteins, and ultimately contribute to oncogenic behavior by modifying growth, differentiation, and apoptosis pathways.","Cancer"
"H00205","Peroxisome biogenesis disorder","Peroxisome biogenesis disorder (PBD) is a group of lethal disorders caused by mutation of peroxisomal biogenesis factor (PEX) genes. PBDs fall into 4 main phenotypic classes; Zellweger syndrome (ZS), neonatal adrenoleukodystrophy (NALD), Infantile Refsum disease (IRD), and rhizomelic chondrodysplasia punctata (RCDP1). Zellweger syndrome is the most severe form and results in neurological dysfunction, craniofacial abnormalities, eye abnormalities, hepatomegaly, and chondrodysplasia punctata. The patients of NALD and IRD have similar symptoms, but they survive considerably longer than ZS. NALD is the intermediate form and IRD is the mildest form.","Inherited metabolic disease; Nervous system disease; Liver disease; Peroxisomal disease"
"H02136","Branched-chain ketoacid dehydrogenase kinase deficiency","Branched-chain ketoacid dehydrogenase kinase (BCKDK) deficiency is a familial comorbid intellectual disability, autism, and epilepsy, caused by mutations in the BCKDK. Patients also showed abnormally low plasma levels of branched-chain amino acids.","Congenital disorder of metabolism"
"H00661","MASS phenotype","MASS Phenotype (Mitral valve prolapse, Aortic dilatation without dissection, Skeletal and Skin abnormalities) is one of the FBN1-related disorders similar to Marfan syndrome. Reduced expression of FBN1 due to a 4 bp deletion in exon 41 is the cause of MASS phenotype.","Congenital malformation"
"H00453","Branchio-oto-renal syndrome","Branchio-oto-renal (BOR) syndrome and Branchiootic (BO) syndrome show overlapping phenotypes of bilateral conductive hearing loss, branchial defects, and facial abnormalities. Indivisuals with BOR syndrome have renal anomalies as well. Mutations in the EYA1 or its transcription cofactor SIX1 and SIX5 are responsible for the diseases.","Congenital malformation"
"H01581","IgA nephropathy","Primary IgA nephropathy is an immune-complex-mediated glomerulonephritis defined immunohistologically by the presence of glomerular IgA deposits accompanied by a variety of histopathologic lesions. It is known to be the most prevalent primary chronic glomerular disease worldwide. Because of the critical interaction between an intrinsic antigen (galactose-deficient IgA1) and circulating anti-glycan antibodies, IgA nephropathy can be considered an autoimmune disease. Since the features of IgA nephropathy identified by light microscopy are nonspecific, immunofluorescence or immunoperoxidase studies demonstrating a predominant deposition of IgA are essential to establish a definitive diagnosis of IgA nephropathy. Genetic factors undoubtedly influence the pathogenesis of IgA nephropathy. Genomewide association studies have identified common susceptibility loci in the absence of a priori mechanistic hypotheses.","Immune system disease; Urinary system disease"
"H02304","Combined D-2- and L-2-hydroxyglutaric aciduria","Combined D-2- and L-2-hydroxyglutaric aciduria (D,L-2-HGA), characterized by elevated levels of both D-2-hydroxyglutarate (HG) and L-2-HG in body fluids, mainly manifests in a severe neonatal epileptic encephalopathy, absence of developmental progress, and often early death. Recessive mutations in SLC25A1, the mitochondrial citrate carrier, have been reported in individuals with D,L-2-HGA.","Congenital disorder of metabolism"
"H01521","Pneumocystis pneumonia","Pneumocystis pneumonia (PCP) is an infectious disease caused by Pneumocystis jirovecii that belongs to the genus Pneumocystis. Members of the genus Pneumocystis are unicellular, eukaryotic organisms that reside in the lungs of many mammals. The 5 main species are have been identified. PCP is a potentially life-threatening disease that occurs in immunocompromised patients.","Infectious disease"
"H01713","Diffuse panbronchiolitis","Diffuse panbronchiolitis (DPB) is a chronic inflammatory lung disease, which predominantly affects East Asians. Clinically, DPB is characterized by chronic inflammation of the respiratory bronchioles and sinobronchial infection. While DPB is frequently compared with cystic fibrosis, a common genetic disease encountered in Caucasians, neither pancreatic insufficiency nor any obvious abnormalities of the sweat electrolytes are seen in DPB, and the two are considered to be entirely different diseases. Immunogenetic studies revealed a strong association with human HLA-B54 in Japanese, whereas an association with HLA-A11 was reported in Koreans. These findings imply that a major susceptibility gene may be located between the HLA-A and HLA-B loci on the short arm of human chromosome 6. Recently, novel mucin-like genes has been cloned in this candidate region. And it was found that their polymorphisms were associated with DPB. Over the past two decades, DPB has shifted from being a near-fatal to a treatable disease. A significant improvement in the prognosis of this disease has been attributed to the long-term use of macrolides. The five-year survival rate increased to about 90% after treatment with erythromycin became widely used.","Respiratory disease"
"H02196","X-linked creatine deficiency syndrome","Creatine deficiency syndromes are inborn errors of metabolism resulting in a progressive encephalopathy with early onset mental retardation, extrapyramidal features, and drug resistant epilepsy. X-linked creatine deficiency syndrome is caused by mutations in SLC6A8 gene that encodes creatine transporter.","Congenital disorder of metabolism"
"H01377","Mitchell-Riley syndrome","Mitchell-Riley syndrome is a neonatal diabetes syndrome that involves abnormalities of the anterior gut as well as diabetes. Patients with this syndrome are typically diagnosed within the first week of life and generally die within their first year of life. Mutations in rfx6 have been associated with Mitchell-Riley syndrome.","Inherited metabolic disease"
"H01979","Overhydrated hereditary stomatocytosis","Overhydrated hereditary stomatocytosis (OHST), which is clinically characterized by a hemolytic anemia, is a rare, dominantly inherited disorder of red blood cells (RBCs) associated with increased membrane permeability to monovalent cations and increased activity of the Na+K+-ATPase. The influx of Na+ exceeds the loss of K+ causing water influx and resulting in swollen erythrocytes, hemolysis, and stomatocyte formation. The OHST phenotype is also associated with a dramatic decrease or the absence of the 32-kDa membrane raft protein stomatin. OHST diagnosis is based on a hemolytic anemia associated with a massive right shift of the osmotic gradient ektacytometry curve and a decreased osmotic resistance, together with a major increase in a monovalent cation leak. Recently, OHST was found to be linked to amino acid substitutions in Rh-associated glycoprotein (RhAG).","Hematologic disease"
"H01145","Atransferrinemia","Atransferrinemia is a rare autosomal recessive disorder characterized by iron overload and hypochromic anemia. A few case of human atransferrinemia with mutations in the transferrin gene has been reported.","Inherited metabolic disease; Hematologic disease"
"H00097","Chemokine receptor defect","WHIM (an acronym for warts, hypogammaglobulinemia, infections and myelokathexis, a form of neutropenia) syndrome is a congenital immunodeficiency disease characterized by neutropenia, hypogammaglobulinemia and susceptibility to human papillomavirus (HPV) infection. Affected individuals have mutations that variably truncate the cytoplasmic tail domain of CXC chemokine receptor 4 (CXCR4). Leukocytes expressing truncated CXCR4 display enhanced responses to the receptor ligand CXCL12, including chemotaxis, which likely impair their trafficking and contribute to the immunohematologic clinical manifestations of the syndrome.","Primary immunodeficiency"
"H01383","Hyperlipoproteinemia type IIa","Familial hypercholesterolemia is characterized by severely elevated low-density lipoprotein (LDL) cholesterol, xanthomas, and the development of premature cardiovascular disease. Hyperlipoproteinemia type IIa is an autosomal dominant disorder caused by mutations in the LDL receptor. The LDL receptor gene consists of a number of distinct functional domains such as signal sequence, ligand binding, and so on. There are more than 1600 mutations in the LDLR gene that can cause familial hypercholesterolemia, accounting for up to 95% of all cases.","Congenital disorder of metabolism"
"H00251","Thyroid dyshormonogenesis","Thyroid dyshormonogenesis is a genetically heterogeneous group of inherited disorders in the enzymatic cascade of thyroid hormone synthesis that result in congenital hypothyroidism due to genetic defects in the synthesis of thyroid hormones.","Endocrine disease"
"H00063","Spinocerebellar ataxia (SCA)","The autosomal dominant spinocerebellar ataxias (SCAs) are a group of progressive neurodegenerative diseases characterised by loss of balance and motor coordination due to the primary dysfunction of the cerebellum. Compelling evidence points to major aetiological roles for transcriptional dysregulation, protein aggregation and clearance, autophagy, the ubiquitin-proteasome system, alterations of calcium homeostasis, mitochondria defects, toxic RNA gain-of-function mechanisms and eventual cell death with apoptotic features of neurons during SCA disease progression.","Neurodegenerative disease"
"H02350","Dyschromatosis universalis hereditaria","Dyschromatosis universalis hereditaria (DUH) is a group of congenital pigmentary disorders characterized by asymptomatic hypo- and hyper-pigmented macules of irregular size and shape which appear early in life. At least two causative genes, ABCB6 and SASH1, have been reported.","Skin disease"
"H00407","Peroxisomal beta-oxidation enzyme deficiency","Peroxisomal beta-oxidation enzyme deficiency is a group of inherited peroxisomal diseases caused by mutation of one of genes that encode peroxisomal fatty acid beta-oxidation system enzymes. The system includes straight-chain acyl-CoA oxidase (ACOX1), 2-methylacyl CoA racemase (AMACR), D-bifunctional protein (DBP) and sterol carrier protein X (SCPx). It is known that some types of fatty acids including very-long-chain fatty acids (VLCFA), branched-chain fatty acid, and the bile acid synthesis intermediates, rely fully on peroxisomes for beta-oxidation. The enzyme defects result in the accumulation of these fatty acids in many organs. The clinical manifestations mimic those of the Zellweger syndrome spectrum. [DS:H00205]","Congenital disorder of metabolism"
"H00635","Aniridia","Aniridia is a congenital, bilateral ocular malformation defined as iris aplasia or hypoplasia. It can be either isolated or accompanied by other ocular defects. Aniridia is caused by decreased dosage of the PAX6, a master regulatory gene that induces eye formation in a broad range of animals. Recently, it has been reported that aniridia is also caused by heterozygous mutations in the ELP4 gene and TRIM44 gene.","Congenital malformation"
"H02162","Viral hepatitis","Viral hepatitis is liver inflammation due to infection by viruses. There are five major hepatotropic viruses, which are different in viral taxonomy. Among them hepatitis B virus (HBV) and hepatitis C virus (HCV) are oncoviruses associated with hepatocellular carcinoma [DS:H00048].","Infectious disease"
"H01946","Glycogen storage disease type XI","Glycogen storage disease type XI (GSD-XI) is an autosomal recessive disorder of glycogen metabolism. GSD-XI is caused by mutations in the LDHA gene, which encodes lactate dehydrogenase.","Inherited metabolic disease"
"H00894","FG syndrome","FG syndrome (FGS), also known as Opitz-Kaveggia syndrome, is a rare X-linked multiple congenital anomaly/mental retardation (MCA/MR) disorder characterized by high clinical variability and genetic heterogeneity. The cardinal features of the syndrome are congenital hypotonia, delayed development of speech, relative macrocephaly (as compared to height and weight), anal anomalies or severe constipation, and dysmorphic facial features. Five loci have so far been linked to this phenotype on the X chromosome. A recurrent missense mutation in the MED12 gene has been identified as the cause for the subset of FGS cases. Filamin A gene (FLNA) and CASK gene mutations could be another causes of FG syndrome.","Congenital malformation"
"H01348","Mitochondrial phosphate carrier deficiency","Mitochondrial phosphate carrier deficiency (MPCD) is a novel disorder of oxidative phosphorylation caused by mutation in the SLC25A3 gene. The mitochondrial phosphate carrier SLC25A3 transports inorganic phosphate into the mitochondrial matrix, which is essential for the aerobic synthesis of adenosine triphosphate (ATP). The patients present with severe neonatal lactic acidosis, hypertrophic cardiomyopathy and generalised muscular hypotonia.","Congenital disorder of metabolism"
"H00438","Nasu-Hakola disease","Polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy (PLOSL), or Nasu-hakola disease is an autosomal recessive inherited disorder. It is characterized by repeated fractures occurring during adolescence and progressive presenile dementia in the fourth decade. The disease is caused by a mutation in the TREM2 or DAP12 gene that regulates osteoclast differentiation. TREM2-DAP12 is also expressed by microglia, thus neurological impairments seen in this disease are considered to be directly caused by microglial dysfunstion.","Congenital disorder of metabolism"
"H00860","Benign hereditary chorea","Benign hereditary chorea (BHC) is a rare, autosomal dominant, static disorder characterized by onset of chorea in conjunction with hypothyroidism and respiratory problems. Features supporting this diagnosis include normal general examination with no dysmorphic features, broadly normal intellectual development with no regression or loss of cognitive skills, absence of other significant neurologic disturbances, and, with the exception of chorea, normal neurologic examination findings. Mutations in the TTF1 gene encoding the thyroid transcription factor-1 have been identified in a number of BHC patients, suggesting that aberration of TTF1 transcriptional function or haploinsufficiency is associated with this disorder. TTF1, belonging to the NKX2 homeodomain transcription factor family, has been implicated in several important molecular pathways essential for brain, thyroid and lung morphogenesis.","Nervous system disease"
"H00632","Heterotaxy","Heterotaxy, or situs ambiguus, is an abnormal arrangement of the thoracic and abdominal viscera. The phenotype with mirror-image reversed left-right axis is called situs inversus, while partial alterations in the left-right organization is referred to as heterotaxy. Heterotaxy is associated with perturbation of nodal signaling during embryogenesis.","Congenital malformation"
"H02165","Colorado tick fever","Colorado tick fever is an infectious disease caused by Colorado tick fever virus (CTFV), a cortivirus in the Reoviridae family of dsRNA viruses, and transmitted by Rocky Mountain wood tick (Dermacentor andersoni). CTFV was first isolated in 1944 in the Rocky Mountain region.","Infectious disease"
"H02357","Congenital hypomyelinating neuropathy","Congenital hypomyelinating neuropathy (CHN) is a rare congenital neuropathy, often accompanied by arthrogryposis, that is characterized by prenatal onset, areflexia, hypotonia, hypomyelination, and slowed nerve conduction velocities. Previous reports of genetic analyses of patients have described mutations in genes known to be important in myelination.","Nervous system disease"
"H00400","Parainfluenza infection","Human parainfluenza viruses (HPIV) are single-stranded RNA viruses belonging to the paramyxovirus family. They are the second most common causes of pediatric lower respiratory tract diseaseleading to hospitalization after respiratory syncytial virus. It can cause repeated infections throughout life, causing flu-like illness.","Infectious disease"
"H00858","Marie-Unna hereditary hypotrichosis","Marie Unna hereditary hypotrichosis (MUHH) is an autosomal dominant form of hereditary hair loss. It is characterized by sparse or absent scalp hair, eyebrows, and eyelashes at birth. Coarse and wiry hair is progressively lost in this disease. Responsive mutations are found in U2HR, an inhibitory upstream open reading frame in the 5'-untranslated region of the HR gene. Recently, a missense mutation of EPS8L3 in MUHH has been identified.","Congenital malformation"
"H00064","Ataxia telangiectasia","Ataxia-telangiectasia (AT) is an autosomal recessive disorder with a birth frequency of about 1 in 300 000. It is a progressive neurodegenerative disease associated with abnormal eye movements and cutaneous telangiectasia, immunodeficiency, and premature aging. The product of the causative gene ATM is a 350 kDa protein of the phosphatidylinositol 3-kinase family that is involved in mitogenic signal transduction, intracellular protein transport, and cell cycle control.","Neurodegenerative disease; Primary immunodeficiency"
"H01384","Mitochondrial recessive ataxia syndrome","Mitochondrial recessive ataxia syndrome (MIRAS) is the mitochondrial disease, that is caused by mutations of the POLG1 gene encoding the mitochondrial DNA polymerase gamma enzyme. MIRAS includes the sensory ataxia neuropathy dysarthria and ophthalmoplegia (SANDO) and Spinocerebellar ataxia with epilepsy (SCAE). MIRAS is a common cause of autosomal recessive juvenile- or adult-onset ataxia, at least in Scandinavia. Most cases of SANDO present with an initial stage of sensory neuropathy, a second stage of progressive external ophahlmoplegia and dysarthria, which is then followed by other symptoms, often with epilepsia or myoclonus.","Inherited metabolic disease; Mitochondrial disease"
"H00256","Familial glucocorticoid deficiency","Familial glucocorticoid deficiency (FGD) is a rare autosomal recessive disease characterized by glucocorticoid deficiency despite high levels of plasma ACTH. Affected individuals typically present within the first few months of life with symptoms related to cortisol deficiency, including recurrent illnesses or infections, hypoglycemia, convulsions, failure to thrive and shock. The disease is life threatening if untreated. Glucocorticoid replacement is the recommended treatment. It has been reported that FGD is caused by mutation of the ACTH receptor (MC2R) and the accessory protein (MRAP).","Endocrine disease"
"H02501","Occipital cortical malformation","Occipital cortical malformation (OCCM) is an autosomal recessive disorder caused by mutations in LAMC3. OCCM is characterized by thickening and smoothening of the occipital cortex along with polymicrogyria. LAMC3 gene encodes the gamma 3 chain of the laminin family proteins, which play a crucial part in cell differentiation, migration, and adhesion.","Congenital malformation"
"H01142","Ehrlichia ewingii infection","Human ehrlichiosis is a recently recognized tick-borne infection. Ehrlichia ewingii has been identified as a cause of human disease in addition to formerly known pathogenic Ehrlichia species.","Infectious disease"
"H00090","NK cell defects","A patient with a mutation in CD16, also known as FcgRIIIa, has been identified. He was a 3-year-old boy, and suffered from recurrent viral respiratory tract infections since birth. CD16 is part of the FcgRIII found on NK cells as well as macrophages and some T cells. The receptor allows NK cells to phagocytose organisms or cells coated with IgG in the absence of MHC (antibody-dependent cellular cytotoxicity). The mutation disrupts NK cell function and is associated with NK cytopenia. The patient also had severe clinical problems after BCG vaccination.","Primary immunodeficiency"
"H01370","SHORT syndrome","SHORT syndrome is a rare autosomal-dominant disorder characterized by short stature, hyperextensibility of joints, hernias, ocular depression, ophthalmic anomalies, teething delay, partial lipodystrophy, insulin resistance, and facial dysmorphic signs. Mutations in PIK3R1 cause this syndrome.","Congenital malformation"
"H01714","Chronic obstructive pulmonary disease (COPD)","Chronic obstructive pulmonary disease (COPD) is a representative chronic inflammatory disorder of the lungs that includes chronic bronchitis and emphysema. COPD is characterized by airway inflammation and progressive airflow obstruction, most commonly caused by cigarette smoking. The major symptoms of which patients complain are cough, breathlessness, and sputum production. COPD is associated with underlying inflammation in response to chronic exposure to noxious particulates and gases and with a number of comorbid conditions. The onset of COPD generally occurs in the 6th to 8th decades of life. Early onset COPD is defined as disease onset before the age of 50 years, irrespective of smoking history. The presence of persons with early onset, severely reduced pulmonary function suggests that individuals may vary in their genetic susceptibility to the effects of smoking. Alpha-1-antitrypsin deficiency is the only proven genetic risk factor for COPD. Bronchodilators are the mainstay of treatment since they improve lung function and reduce acute exacerbations. Long-acting inhaled bronchodilators are recommended as first line treatment for patients with persistent symptoms.","Lung disease"
"H02191","Noonan-like syndrome with loose anagen hair","Noonan-like syndrome with loose anagen hair (NSLH) is characterized by features similar to those observed in Noonan syndrome. Besides, the most characteristic feature is the hair anomaly, including easily pluckable, sparse, thin, slow growing. NSLH is caused by the mutations in SHOC2. Recently, the novel NSLH with mutations in PPP1CB has been identified.","Congenital malformation"
"H01526","Legg-Calve-Perthes Disease","Legg-Calve-Perthes disease (LCPD) is a particular type of femoral head necrosis occurring in children. It is more common among boys, and bilateral involvement occurs in 8-24% of cases. The disease is usually diagnosed among children under age 14 years, with a peak onset between 5 and 8 years of age. There is delayed skeletal maturation and impaired growth. In addition to congenital abnormalities, LCPD is associated with greater risk of cardiovascular diseases and diseases of the blood. Most cases are sporadic, but familial cases have been described. It has been reported that COL2A1 mutations are associated with this disease.","Musculoskeletal disease"
"H00269","Primary microcephaly","Autosomal recessive primary microcephaly (MCPH) is a neurodevelopmental disorder characterized by reduced skull circumference and brain volume.","Congenital malformation"
